X0,X1
0.187219427,-0.584775108
-0.484007437,0.22661892
-0.607690521,0.279420396
0.82982561,0.481181584
0.479003874,0.384538681
-0.580318105,0.891131217
0.025929829,-0.987755811
0.952102758,0.300135234
0.877563827,0.490906787
-0.504514687,0.087279876
-0.827915429,-0.558521364
0.603838327,0.126709063
0.520732549,-0.306894111
-0.668542295,0.780379582
0.416658455,0.92148411
0.137372027,0.949690697
0.005581064,-1.029603994
-0.571256931,0.162386866
0.987065897,0.037218372
0.883958617,0.391458732
0.442249935,0.434995188
0.887422621,0.435845687
-1.039087094,0.28007407
-0.085572708,0.586452834
0.104814728,0.99491588
-0.227842921,0.926185677
0.623040344,0.243429209
-0.558580363,-0.022578086
0.147718562,-0.636881113
0.888135369,-0.437144354
-0.859698144,-0.588029497
0.121808814,0.9667118
0.444090818,-0.450095475
-0.197510329,0.615224439
1.017145286,-0.192457793
0.804840213,0.613138305
-0.706196354,0.594709199
1.000570132,0.029181049
0.04580888,1.041747121
-0.529685128,-0.307327936
-0.636614674,-0.746806066
-0.46145064,0.397838362
-0.038944189,0.609963005
0.954664956,0.321473317
0.429543031,0.352671305
0.226164931,-0.523599648
-0.274393954,0.507460847
0.39528472,-0.411998295
-0.129396136,0.575648219
0.512388006,-0.113160086
-0.851767002,-0.539065038
0.693056842,0.698907246
0.342560225,-0.397416979
0.550335683,0.077004761
-0.605321245,0.066079937
0.637718691,-0.86252207
0.453856465,-0.361623539
-0.369859766,-0.488310411
-0.474223955,0.497566137
-0.663010797,0.819762323
-0.492899224,0.355433839
-0.499014549,0.201890144
-0.185989995,0.552016863
-0.998824728,0.420113133
0.158999149,-0.971066773
-0.996647007,-0.142493826
-0.898794689,0.484292636
0.447887367,0.471161438
-0.336357815,-0.417432386
-0.69793847,0.095959694
0.06107667,-0.625603802
0.103032364,-0.585185346
-0.495596407,0.782680109
0.643027687,-0.016772892
-0.546877426,-0.380350339
-0.54884205,0.103849775
0.946349492,0.409139912
-0.578779402,0.896299042
-0.857745092,-0.50700084
-0.516137811,0.275043858
0.566141668,-0.179138138
0.598489801,0.053284016
-0.142200598,0.600252777
-0.098815979,0.945874592
-0.903440926,0.353691179
-0.685528589,0.721572157
-0.498529827,-0.191877118
-0.622369469,0.824910489
-0.916374808,0.599658309
0.504812207,0.262922754
-0.317933748,0.53576953
-0.505061836,-0.41386066
0.928927462,-0.522707125
-0.999947271,0.114448675
0.360233833,-0.882969891
-0.259046958,0.907891019
-0.524403389,0.137275748
-0.094204195,0.494522419
0.626403836,0.815534084
0.435136283,0.870893691
-0.465088124,0.95369635
-0.656545441,-0.145703627
-0.387037723,0.931645037
-0.006941438,0.4750408
-0.563617975,0.205212191
0.570219063,0.857739315
0.261430404,-0.518956132
-0.942617067,-0.266988483
0.267315074,-0.569367216
0.737127674,0.596352877
-0.565437097,-0.050573806
-0.007800582,-0.663279975
-0.342380189,-0.539919207
-0.039400295,-0.662874944
0.410208686,-0.486754504
-0.378929477,0.467619572
0.588493553,0.14876892
-0.150181867,-1.063531129
-0.924214052,0.469331852
-0.433160322,0.46300769
-0.647539992,-0.767968478
-0.487111024,-0.50223292
0.007845249,-0.981860219
0.612037028,0.031758113
-0.560448923,0.401938765
-0.727110641,0.699203494
0.083545867,0.583373589
-0.46042832,-0.002908528
0.516480931,0.279072337
0.418725455,0.904023976
0.345215281,-0.552615322
0.370954188,0.376109137
-1.084938971,0.0865805
-0.966584557,0.326689449
-0.490823383,-0.438347724
0.287593016,0.901947381
-0.121292816,-0.985884094
-0.557467556,0.221293437
-0.550573552,-0.347304164
0.614073574,-0.783930971
-0.191199321,-0.476350915
0.8849344,-0.404940008
-1.045829446,-0.036491069
-0.517258328,0.802247624
0.977117184,0.139100941
-0.084780026,0.573897226
-0.388569417,0.943328219
-0.11970754,0.547941061
